,score
34344,0
17921,1
28769,4
25195,212
9546,2
29009,1
33767,1
20599,2
1071,6
14085,8
4780,3
16570,0
29130,3
4088,2
20227,395
12317,16
33106,0
12674,1
13951,3
22872,6
34792,1
98,3
33042,0
28542,20
1812,6
26595,28
6081,3
17689,5
4856,9
19746,5107
31670,1
35363,1
11233,0
4132,14
24670,10
26680,21
25598,0
20558,20
29939,1
31870,9
15278,0
25472,7
1446,4
13963,0
26475,43
3040,2
30486,5
18273,3
29713,1
7737,1
13228,34
7058,0
23925,19
29322,116
11778,0
5014,0
36065,13
25594,6
1789,16
34951,4
23348,7
34054,159
34277,1
25887,49
26192,63
19571,369
19273,426
16869,0
471,1
14584,675
4347,2
3637,3
12430,6
2213,10
20275,616
6246,0
35217,66
20464,88
29315,1
14661,1229
15275,1
31641,2
24513,0
29106,1
19938,6
5330,0
10940,52
21105,19
18519,7
19567,838
10862,36
9866,5
35757,7
35734,3
30852,5
32374,1
3830,5
29412,2
2471,2
1797,9
35009,19
8343,121
54,20
28883,7
15859,2
32527,1823
3196,18
30630,3
32277,1
9639,3
26414,45
35868,5
12511,0
28601,3
12982,11
16544,1
3152,5
6750,2
26772,39
18542,0
21949,46
12154,6
30627,1
10804,0
8276,6
2758,3
17615,1
12916,149
35637,4
30813,0
30255,0
19773,28
14957,14
12970,0
29441,1
1698,0
35510,3
11544,6
11618,3
20578,0
25679,3
31179,0
21977,0
32011,3
6809,9
25624,109
8586,4
33800,3
5043,4
8849,2
3676,2
20866,154
1492,7
10615,38
27388,9
264,29
3315,14
1255,1
1897,5
34156,38
35613,16
13195,9
12267,3
11270,251
21869,0
16285,1
21470,72
27987,10
12566,6
34851,6
17718,6
32688,7
27729,5
16417,2
5469,11
27005,9
28567,0
26203,20
13306,0
20383,150
7001,0
1160,14
7825,4
31128,2
9300,105
18213,0
14262,3
20975,9
1091,5
31722,8
33277,3
11536,2
13149,1
21913,2
12686,12
5144,7
18346,1
32495,0
15023,1
17540,1
34375,19
36141,1
35595,13
20071,0
11260,39
26564,192
33183,17
12814,72
11657,21
25713,7361
28864,11
14622,40
24128,56
18894,1
12003,0
29723,0
11656,5
35616,24
12962,93
24719,47
32139,3
22059,40
15358,2
6260,1
26563,10
14000,217
8751,0
18619,0
3114,7
25352,7
3249,1
5662,17
1986,2
31688,0
25954,14
12371,43
6893,8
1609,13
31020,0
28296,16
4650,12
9543,4
2436,8
27642,12
17127,1
24906,126
18924,18
18059,1
20337,78
18914,7
3758,4
27159,0
9299,0
24816,952
21521,7
36447,172
20125,0
6527,14
13730,1821
18643,7
32478,1
31078,0
23525,19
12760,477
33765,1
20850,9
22474,20
32470,1
19827,130
23926,333
17941,8
8698,0
13648,11
23650,2
9447,3
24727,17
23412,736
5492,2
21924,314
9986,38
8935,3
23272,3
2251,4
35860,2
19875,2191
966,12
16842,1
21577,17
5399,8
22940,323
1170,33
12655,12
29768,1
8543,0
34731,14
11893,24
2423,1
9983,8
7796,1
26402,7
31609,0
17948,0
24673,175
27045,57
30644,0
1507,26
8398,2
15314,1
29750,0
34242,3
23814,13
4597,259
23914,23
21444,0
31203,0
8362,0
29912,9
35794,0
748,8
22408,0
33622,267
32695,6
25566,10
22823,31
34485,76
18862,3
3557,15
559,50
15521,3
7378,1
22015,32
17894,3
8990,61
27651,4
3379,2
34161,1
36256,16
34181,2
29947,1
6292,11
24880,4
34703,1
17400,6
21897,87
30527,8
16075,1
22751,254
676,7
6290,4
22485,197
1660,4
7809,111
33119,120
25933,29
3479,6
30124,0
2254,114
18036,2
15041,3
29766,1
28460,0
2042,4
20329,24
24652,3
13081,89
27301,5
30716,1
12381,16
3253,29
36467,2
16181,3
16749,3
34718,1
33002,2
1315,6
774,1
25767,4
8114,0
20617,22
8345,2
32090,1
12428,200
478,41
30858,0
18689,4
10246,1
16996,3
26700,0
2183,14
30600,4
25072,189
25251,0
4684,10
27486,20
25402,28
15728,1
30385,1
370,3
777,29
26006,24
228,0
13546,8
6175,0
23866,20
32498,16
9493,2
6122,1
20845,22
6929,1
30221,6
3625,591
28688,3
23958,105
23585,10
16027,0
29571,2
5547,1
17472,7
2048,3
16458,0
17551,6
18108,0
10970,2813
22801,139
35297,4
20519,13
3505,15
39,8
5562,1
17668,3
5254,0
3041,1
10350,460
25824,6
19484,4
19671,14
15782,3
27172,7
21699,8
425,3
30555,1
30568,0
2260,37
31049,0
29471,1
17556,0
6058,2
27537,0
9094,0
35950,8
22271,13
2579,173
32726,1
29284,0
20521,4
30907,2
2301,8
3897,1
13903,9
31578,0
3325,32
11525,185
8527,22
15412,2
27573,76
2802,0
32741,9
30801,0
4019,1
30301,1
10773,15
25050,73
2735,0
16352,0
31659,2
2811,5
19686,0
31575,1
11452,979
28771,0
15811,0
27410,1
6411,15
16895,1
13788,0
21467,6
10306,28
27257,12
26426,533
4095,21
29838,1
20631,13
33801,3
29184,1
35912,24
14088,26
27965,7
25171,13
5827,0
13614,21
34113,242
20767,2
12647,3
33735,1605
17491,2
5328,0
8827,1
20978,11
20060,30
35253,3
24985,727
26822,3
16624,9
56,2
24724,18
32262,0
27571,7
8179,2
7291,13
25293,9
28656,5
12818,9
28058,1
27680,19
25107,9
19502,0
17060,4
19035,99
23193,15
1118,5
1768,10
12361,70
22998,52
36158,8
5265,3
18916,1
931,6
26446,7
31977,0
25481,63
7959,2
13310,8
5489,1
6876,1
16861,31
17994,1
721,3
10890,0
21043,159
34803,3
21488,66
4499,474
22108,349
1281,1
9569,6
4969,10
23512,2
25831,6
9541,0
7766,11
34030,724
19508,0
36237,11
32203,5
8154,4
1230,31
16809,1
33648,1
25842,12
21015,921
14346,92
11049,866
13467,5
15340,1
21486,148
17899,9
35458,3
1229,0
23709,9
4225,37
4933,2
32386,2
31544,1
27753,11
11487,5
8145,9
33375,3
4881,19
13215,0
6367,0
12319,2
34657,3
32079,3
10627,16
7800,8
23541,0
14007,22
32819,16
32289,0
10080,71
36389,16
31090,1
3122,1
3808,14
4799,7
29012,1
9233,1
15759,2
31930,0
23833,80
6152,19
24502,31
14120,3
12965,69
657,28
17239,1
14784,7
17587,0
28714,7
2103,46
31480,0
26324,5
32247,3
7852,0
25548,17
15529,1
29854,0
26572,18
29077,1
30344,7
24593,8
14955,1
30375,1
31604,0
12271,71
34855,620
35127,5
28283,5
21980,10845
36039,0
14944,4
36496,1
30065,0
22572,37
18418,3
11349,5
5672,6
26755,0
29437,3
31291,0
22761,57
31440,1
331,475
17390,1
32717,85
11700,92
36442,23
2177,87
31268,1
34211,19
31339,1
16145,3
35466,10
35985,9
24943,315
30005,5
2729,18
31030,8
12121,0
19918,0
25950,287
31381,1
23055,0
10574,0
7229,5
31073,1
36514,2
2319,169
14900,18
9778,14
22129,22
25492,12
30185,3
32993,133
27418,4
2516,117
3280,11
32027,0
1570,0
31475,2
22738,284
25570,12
20356,87
30297,7
18082,1
21817,0
4540,10
20544,2
19518,774
1928,1
291,17
4214,16
16335,2
1683,0
12935,1
1302,5
35603,3
21840,128
634,1
22832,834
30688,1
6423,4
14993,3
19091,6
19460,0
13321,21
2620,0
18918,2
26243,22
26152,0
33568,6
35718,1
26745,26
22719,248
3516,4
20607,5
2415,30
20532,2
7306,4
23463,27
874,6
22247,289
30832,1
18158,1
7523,7
35436,5
22802,123
19934,96
29234,5
18068,0
35925,2
28066,3
13577,4
26456,17
28482,81
26078,12
16416,2
33551,0
16600,0
22765,34
1475,16
18525,1
34677,1
1699,3
22079,32
35535,0
36301,5
1069,20
7319,11
21592,2
25135,2
20569,4
9329,3
32817,2
8672,30
6078,0
32097,1
22462,48
32279,0
7987,3
5161,0
11832,862
29569,2
13634,116
36314,9
17984,1
26105,99
18616,1
3349,15
86,328
27130,205
19935,504
2897,8
21054,10
2356,4
30303,1
3639,5
31538,1
1439,38
11534,6
3881,13
12080,6
29761,0
26147,18
17880,0
26293,2
7190,1
24254,32
24434,13
13403,115
6777,7
10128,0
19944,4
15136,8
36014,21
7345,0
6819,6
32768,7
8347,3
3232,85
28078,15
742,29
275,46
26469,10
9697,8
28726,3
2658,11
